"GEO_ID","NAME","B06012_001E","B06012_001M","B06012_002E","B06012_002M","B06012_003E","B06012_003M","B06012_004E","B06012_004M","B06012_005E","B06012_005M","B06012_006E","B06012_006M","B06012_007E","B06012_007M","B06012_008E","B06012_008M","B06012_009E","B06012_009M","B06012_010E","B06012_010M","B06012_011E","B06012_011M","B06012_012E","B06012_012M","B06012_013E","B06012_013M","B06012_014E","B06012_014M","B06012_015E","B06012_015M","B06012_016E","B06012_016M","B06012_017E","B06012_017M","B06012_018E","B06012_018M","B06012_019E","B06012_019M","B06012_020E","B06012_020M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Below 100 percent of the poverty level","Margin of Error!!Total!!Below 100 percent of the poverty level","Estimate!!Total!!100 to 149 percent of the poverty level","Margin of Error!!Total!!100 to 149 percent of the poverty level","Estimate!!Total!!At or above 150 percent of the poverty level","Margin of Error!!Total!!At or above 150 percent of the poverty level","Estimate!!Total!!Born in state of residence","Margin of Error!!Total!!Born in state of residence","Estimate!!Total!!Born in state of residence!!Below 100 percent of the poverty level","Margin of Error!!Total!!Born in state of residence!!Below 100 percent of the poverty level","Estimate!!Total!!Born in state of residence!!100 to 149 percent of the poverty level","Margin of Error!!Total!!Born in state of residence!!100 to 149 percent of the poverty level","Estimate!!Total!!Born in state of residence!!At or above 150 percent of the poverty level","Margin of Error!!Total!!Born in state of residence!!At or above 150 percent of the poverty level","Estimate!!Total!!Born in other state in the United States","Margin of Error!!Total!!Born in other state in the United States","Estimate!!Total!!Born in other state in the United States!!Below 100 percent of the poverty level","Margin of Error!!Total!!Born in other state in the United States!!Below 100 percent of the poverty level","Estimate!!Total!!Born in other state in the United States!!100 to 149 percent of the poverty level","Margin of Error!!Total!!Born in other state in the United States!!100 to 149 percent of the poverty level","Estimate!!Total!!Born in other state in the United States!!At or above 150 percent of the poverty level","Margin of Error!!Total!!Born in other state in the United States!!At or above 150 percent of the poverty level","Estimate!!Total!!Native; born outside the United States","Margin of Error!!Total!!Native; born outside the United States","Estimate!!Total!!Native; born outside the United States!!Below 100 percent of the poverty level","Margin of Error!!Total!!Native; born outside the United States!!Below 100 percent of the poverty level","Estimate!!Total!!Native; born outside the United States!!100 to 149 percent of the poverty level","Margin of Error!!Total!!Native; born outside the United States!!100 to 149 percent of the poverty level","Estimate!!Total!!Native; born outside the United States!!At or above 150 percent of the poverty level","Margin of Error!!Total!!Native; born outside the United States!!At or above 150 percent of the poverty level","Estimate!!Total!!Foreign born","Margin of Error!!Total!!Foreign born","Estimate!!Total!!Foreign born!!Below 100 percent of the poverty level","Margin of Error!!Total!!Foreign born!!Below 100 percent of the poverty level","Estimate!!Total!!Foreign born!!100 to 149 percent of the poverty level","Margin of Error!!Total!!Foreign born!!100 to 149 percent of the poverty level","Estimate!!Total!!Foreign born!!At or above 150 percent of the poverty level","Margin of Error!!Total!!Foreign born!!At or above 150 percent of the poverty level"
"0500000US08001","Adams County, Colorado","456829","810","64599","3429","48275","3130","343955","4067","234508","3033","34281","2145","25414","1838","174813","3176","148754","2789","13922","1092","11455","938","123377","2625","4702","644","813","289","515","196","3374","494","68865","2066","15583","1549","10891","1344","42391","2137"
"0500000US08003","Alamosa County, Colorado","15025","419","4192","642","1976","534","8857","613","8767","508","2381","421","1327","397","5059","515","5059","521","1310","368","533","215","3216","354","138","92","16","26","44","48","78","64","1061","310","485","227","72","62","504","225"
"0500000US08005","Arapahoe County, Colorado","591806","621","68985","2869","48692","2904","474129","3911","232022","3068","29628","1772","19985","1726","182409","3354","261333","3245","21878","1382","15749","1178","223706","3211","9415","791","987","298","791","263","7637","712","89036","2346","16492","1227","12167","1185","60377","1954"
"0500000US08007","Archuleta County, Colorado","11988","90","1327","300","1555","419","9106","506","3459","403","443","157","520","216","2496","423","7831","449","739","257","965","292","6127","411","111","71","10","12","14","23","87","67","587","152","135","104","56","54","396","125"
"0500000US08009","Baca County, Colorado","3615","64","588","126","495","125","2532","138","1812","118","291","90","278","85","1243","129","1684","116","286","85","199","55","1199","115","10","8","3","5","0","12","7","7","109","35","8","8","18","24","83","33"
"0500000US08011","Bent County, Colorado","3828","422","703","229","576","172","2549","358","2431","324","432","128","367","150","1632","306","1157","225","200","93","202","72","755","165","36","34","3","19","0","17","33","27","204","131","68","112","7","11","129","74"
"0500000US08013","Boulder County, Colorado","295264","832","43057","2055","19706","1447","232501","2435","96696","2178","16816","1181","7467","957","72413","2096","162434","2275","19556","1258","8086","784","134792","2086","4427","582","625","264","216","92","3586","486","31707","1202","6060","864","3937","697","21710","1017"
"0500000US08014","Broomfield County, Colorado","58659","155","3717","694","3936","710","51006","972","23759","895","1581","410","1931","453","20247","819","28849","951","1494","351","1095","279","26260","999","667","250","34","43","46","44","587","242","5384","590","608","231","864","374","3912","425"
"0500000US08015","Chaffee County, Colorado","16980","351","1480","295","1830","321","13670","577","6442","473","516","139","870","285","5056","506","9870","444","836","233","867","177","8167","489","199","89","0","19","57","48","142","79","469","140","128","95","36","52","305","114"
"0500000US08017","Cheyenne County, Colorado","2099","156","182","81","192","57","1725","174","1288","147","78","41","106","43","1104","151","618","86","64","31","62","28","492","82","10","8","0","12","5","7","5","5","183","85","40","43","19","20","124","76"
"0500000US08019","Clear Creek County, Colorado","8944","85","828","302","297","125","7819","293","3182","289","362","151","82","49","2738","325","5329","295","412","186","204","105","4713","341","78","56","0","17","11","18","67","52","355","187","54","73","0","17","301","167"
"0500000US08021","Conejos County, Colorado","8178","70","1522","252","1475","298","5181","316","6445","214","1198","225","1106","246","4141","304","1390","178","282","87","302","117","806","135","38","22","12","15","2","3","24","15","305","114","30","17","65","46","210","121"
"0500000US08023","Costilla County, Colorado","3578","12","893","202","453","165","2232","216","2278","131","649","183","346","152","1283","188","1075","129","179","66","70","40","826","147","3","4","0","12","0","12","3","4","222","78","65","46","37","33","120","57"
"0500000US08025","Crowley County, Colorado","4012","360","1137","247","669","228","2206","347","2610","246","742","174","416","153","1452","257","1308","284","353","148","239","125","716","197","45","28","11","15","3","6","31","22","49","42","31","33","11","17","7","7"
"0500000US08027","Custer County, Colorado","4220","43","746","220","705","243","2769","266","1453","272","315","165","375","223","763","188","2654","267","429","164","321","143","1904","245","11","16","2","5","9","15","0","12","102","66","0","12","0","12","102","66"
"0500000US08029","Delta County, Colorado","29171","224","4738","718","3736","603","20697","919","15202","604","2522","460","1976","424","10704","684","12672","605","1727","327","1645","341","9300","675","164","88","0","25","0","25","164","88","1133","199","489","165","115","64","529","169"
"0500000US08031","Denver County, Colorado","621206","1034","113930","3846","66379","3478","440897","4837","259977","3344","55807","2547","29559","2336","174611","3214","252557","2470","31382","1459","18748","1291","202427","2923","7790","678","1209","293","659","191","5922","595","100882","2815","25532","1688","17413","1396","57937","2389"
"0500000US08033","Dolores County, Colorado","1728","160","347","102","277","118","1104","171","791","132","165","52","190","94","436","117","879","117","159","64","87","43","633","112","35","40","3","7","0","12","32","39","23","23","20","23","0","12","3","7"
"0500000US08035","Douglas County, Colorado","298733","231","12240","1521","8831","1126","277662","1769","111324","2337","5045","1043","3558","681","102721","2142","162935","2344","5256","700","4313","778","153366","2503","4605","660","151","111","182","137","4272","627","19869","1128","1788","426","778","265","17303","1034"
"0500000US08037","Eagle County, Colorado","51843","227","5166","895","3486","856","43191","1145","17039","910","1881","696","1292","386","13866","909","24320","836","1636","450","1101","392","21583","829","591","202","41","40","12","16","538","198","9893","646","1608","498","1081","423","7204","762"
"0500000US08039","Elbert County, Colorado","23388","81","1712","541","1245","321","20431","596","10584","555","1034","456","879","280","8671","613","11609","490","539","173","345","105","10725","528","255","92","57","29","6","8","192","86","940","298","82","57","15","16","843","304"
"0500000US08041","El Paso County, Colorado","627174","881","78493","2940","49657","2697","499024","3841","201294","3478","32142","1727","18267","1479","150885","3169","359525","3427","35209","2068","24889","1573","299427","3779","20885","967","2428","418","1220","278","17237","897","45470","1627","8714","1112","5281","831","31475","1307"
"0500000US08043","Fremont County, Colorado","35710","957","6274","771","3590","611","25846","1195","17583","903","3612","567","1950","401","12021","946","17306","864","2625","442","1482","341","13199","797","304","121","12","20","64","81","228","89","517","177","25","42","94","92","398","124"
"0500000US08045","Garfield County, Colorado","55605","367","6503","1111","5542","1025","43560","1316","23249","937","2545","621","2348","579","18356","1108","23323","945","1994","415","1785","472","19544","943","624","242","113","137","23","36","488","186","8409","514","1851","534","1386","375","5172","722"
"0500000US08047","Gilpin County, Colorado","5506","38","568","264","511","225","4427","303","1847","292","169","99","242","147","1436","310","3363","298","342","153","244","119","2777","331","124","85","57","71","16","26","51","39","172","117","0","17","9","17","163","119"
"0500000US08049","Grand County, Colorado","14395","35","1736","416","1026","362","11633","505","5071","581","501","217","513","244","4057","492","8331","628","1164","353","447","174","6720","653","83","67","13","22","0","19","70","63","910","348","58","38","66","52","786","330"
"0500000US08051","Gunnison County, Colorado","14551","204","2570","414","1215","391","10766","450","5465","543","1251","320","461","227","3753","397","8248","532","1055","307","628","210","6565","432","219","115","55","43","0","19","164","104","619","163","209","168","126","122","284","84"
"0500000US08053","Hinsdale County, Colorado","871","116","65","37","102","46","704","113","214","68","19","20","30","28","165","61","636","93","42","22","72","28","522","95","11","13","0","12","0","12","11","13","10","11","4","7","0","12","6","9"
"0500000US08055","Huerfano County, Colorado","6176","285","1224","349","788","237","4164","437","3375","372","728","278","514","185","2133","432","2546","253","423","152","218","111","1905","246","73","44","25","29","13","26","35","34","182","81","48","46","43","32","91","55"
"0500000US08057","Jackson County, Colorado","1377","113","203","117","184","81","990","148","605","78","95","66","91","46","419","82","661","84","62","30","68","30","531","92","10","13","0","12","0","12","10","13","101","66","46","52","25","40","30","42"
"0500000US08059","Jefferson County, Colorado","537249","695","47009","2186","30157","1848","460083","2697","252157","3042","24365","1593","14366","1239","213426","3232","244736","2878","17534","1162","12371","928","214831","2571","5765","434","590","189","231","131","4944","370","34591","1542","4520","732","3189","594","26882","1321"
"0500000US08061","Kiowa County, Colorado","1380","114","203","87","210","95","967","136","880","106","95","44","154","79","631","101","463","92","84","65","54","36","325","70","5","9","0","12","0","12","5","9","32","31","24","31","2","3","6","7"
"0500000US08063","Kit Carson County, Colorado","7307","502","1135","186","1155","314","5017","492","4314","393","619","140","773","250","2922","403","2436","260","311","95","359","130","1766","207","10","7","4","6","0","17","6","4","547","101","201","85","23","27","323","88"
"0500000US08065","Lake County, Colorado","7163","73","872","296","878","369","5413","443","3396","368","295","154","427","218","2674","387","2881","380","428","202","350","175","2103","340","83","54","9","15","35","43","39","42","803","193","140","93","66","101","597","177"
"0500000US08067","La Plata County, Colorado","50563","387","5609","709","4623","766","40331","1127","17851","861","1991","353","2142","480","13718","841","30592","797","3422","473","2048","389","25122","977","437","174","34","30","65","72","338","159","1683","328","162","166","368","189","1153","233"
"0500000US08069","Larimer County, Colorado","302954","930","41375","2050","23109","1638","238470","2509","120276","1972","18960","1207","10337","1029","90979","2116","163693","1983","18951","1307","10763","882","133979","2031","3109","365","383","159","250","102","2476","326","15876","1035","3081","615","1759","394","11036","894"
"0500000US08071","Las Animas County, Colorado","14218","313","2323","375","1710","309","10185","505","8341","336","1380","296","1014","215","5947","399","5336","379","860","179","570","162","3906","373","135","75","1","2","47","53","87","61","406","110","82","71","79","60","245","94"
"0500000US08073","Lincoln County, Colorado","3806","380","620","133","477","139","2709","331","2534","245","370","102","275","87","1889","238","1215","203","239","75","177","72","799","158","18","14","5","7","0","17","13","13","39","56","6","12","25","63","8","7"
"0500000US08075","Logan County, Colorado","21528","186","3630","700","2740","586","15158","734","12935","652","1817","368","1895","490","9223","679","7032","623","1151","326","656","170","5225","537","138","148","1","3","8","18","129","149","1423","628","661","504","181","175","581","377"
"0500000US08077","Mesa County, Colorado","144055","443","22726","2005","13833","1422","107496","2169","70410","1857","11976","1587","7362","928","51072","1949","67948","1670","9829","1054","5804","673","52315","1748","734","229","0","28","76","55","658","228","4963","590","921","328","591","267","3451","492"
"0500000US08079","Mineral County, Colorado","704","100","48","29","106","27","550","97","194","50","9","7","34","14","151","47","499","87","39","30","63","25","397","78","4","8","0","12","4","8","0","12","7","8","0","12","5","7","2","5"
"0500000US08081","Moffat County, Colorado","13016","171","1516","345","1607","345","9893","411","7206","355","830","219","942","246","5434","384","5006","360","492","186","532","157","3982","330","78","49","14","21","7","18","57","39","726","165","180","118","126","94","420","139"
"0500000US08083","Montezuma County, Colorado","25223","134","4636","615","2277","384","18310","617","10636","560","2012","444","902","198","7722","688","13662","597","2408","375","1313","287","9941","571","196","87","36","28","39","49","121","75","729","236","180","193","23","22","526","160"
"0500000US08085","Montrose County, Colorado","40300","255","6915","820","5076","909","28309","1107","18359","729","3513","527","2472","458","12374","844","18862","714","2745","466","1900","471","14217","712","286","107","52","45","27","35","207","96","2793","418","605","253","677","305","1511","293"
"0500000US08087","Morgan County, Colorado","27654","223","3404","672","3927","798","20323","900","15861","615","1834","500","2507","578","11520","696","7934","562","914","231","938","252","6082","493","365","197","12","13","38","53","315","200","3494","484","644","253","444","200","2406","428"
"0500000US08089","Otero County, Colorado","18042","188","4661","567","2481","530","10900","671","12061","547","3108","402","1627","426","7326","569","4858","406","1030","252","699","198","3129","322","106","59","60","42","3","7","43","41","1017","282","463","249","152","110","402","192"
"0500000US08091","Ouray County, Colorado","4521","16","334","112","453","156","3734","181","1163","184","132","62","147","84","884","158","3164","171","189","80","274","120","2701","207","59","27","5","8","0","12","54","26","135","52","8","13","32","36","95","38"
"0500000US08093","Park County, Colorado","16055","65","1329","304","1250","438","13476","495","5432","490","491","138","524","273","4417","527","9974","513","798","252","609","191","8567","518","126","86","25","30","0","19","101","80","523","201","15","21","117","129","391","155"
"0500000US08095","Phillips County, Colorado","4317","36","802","249","574","185","2941","249","2621","186","390","142","408","144","1823","197","1105","157","163","73","127","55","815","132","19","18","10","15","0","12","9","10","572","190","239","172","39","38","294","139"
"0500000US08097","Pitkin County, Colorado","17231","40","1515","427","710","273","15006","480","4209","516","391","194","179","115","3639","457","10834","548","620","225","403","169","9811","594","175","101","11","17","0","19","164","102","2013","302","493","219","128","109","1392","329"
"0500000US08099","Prowers County, Colorado","11993","212","2618","505","1797","387","7578","552","7348","353","1734","430","1018","264","4596","447","3383","376","618","183","482","158","2283","311","51","62","6","9","31","61","14","15","1211","278","260","126","266","120","685","265"
"0500000US08101","Pueblo County, Colorado","156001","843","30102","1740","18857","1352","107042","2086","101199","1560","20736","1454","12625","1113","67838","1824","46529","1428","7298","787","5337","712","33894","1274","1687","299","328","149","67","45","1292","248","6586","594","1740","363","828","266","4018","484"
"0500000US08103","Rio Blanco County, Colorado","6463","120","1085","346","422","250","4956","426","3053","314","429","215","133","123","2491","320","2973","259","524","170","282","215","2167","250","26","26","0","17","0","17","26","26","411","153","132","87","7","12","272","126"
"0500000US08105","Rio Grande County, Colorado","11479","156","2311","457","1547","401","7621","522","6740","405","1296","347","923","262","4521","466","3734","357","864","306","461","170","2409","284","152","126","4","7","3","6","145","127","853","215","147","99","160","132","546","217"
"0500000US08107","Routt County, Colorado","23120","231","2397","471","1553","452","19170","581","8964","487","1157","353","566","237","7241","463","12596","542","1022","252","813","293","10761","552","404","153","40","43","39","62","325","118","1156","407","178","125","135","119","843","332"
"0500000US08109","Saguache County, Colorado","6172","23","1547","316","1259","266","3366","282","3032","235","711","201","708","172","1613","267","2524","203","638","160","414","129","1472","191","15","13","8","7","5","9","2","5","601","109","190","79","132","67","279","88"
"0500000US08111","San Juan County, Colorado","653","111","108","75","114","65","431","79","266","66","32","27","51","35","183","62","362","89","64","65","63","44","235","57","0","12","0","12","0","12","0","12","25","24","12","15","0","12","13","18"
"0500000US08113","San Miguel County, Colorado","7568","33","787","209","712","170","6069","242","2066","217","163","69","197","82","1706","203","4866","237","528","183","408","129","3930","241","68","43","14","22","0","17","54","41","568","102","82","52","107","67","379","113"
"0500000US08115","Sedgwick County, Colorado","2322","34","362","82","211","61","1749","94","1292","94","186","59","97","41","1009","98","927","105","153","55","100","30","674","89","23","17","4","5","0","12","19","18","80","38","19","14","14","11","47","39"
"0500000US08117","Summit County, Colorado","28369","58","4003","974","1309","421","23057","1034","7919","642","1266","428","319","168","6334","756","16973","732","1895","501","893","324","14185","715","326","154","109","123","0","22","217","106","3151","581","733","475","97","100","2321","650"
"0500000US08119","Teller County, Colorado","23109","103","1664","367","1842","416","19603","588","6883","571","715","259","751","274","5417","586","15412","589","902","220","1069","230","13441","617","234","112","3","5","0","22","231","111","580","143","44","43","22","22","514","145"
"0500000US08121","Washington County, Colorado","4487","146","580","114","483","131","3424","147","3146","138","390","89","270","80","2486","148","1162","117","168","54","148","52","846","106","38","36","3","19","7","7","28","26","141","67","19","16","58","72","64","34"
"0500000US08123","Weld County, Colorado","258081","771","34898","2073","25642","1864","197541","2700","137918","2173","20631","1612","15010","1428","102277","2632","94810","1874","9653","757","6646","768","78511","1736","2615","437","450","174","165","101","2000","407","22738","1272","4164","601","3821","595","14753","1220"
"0500000US08125","Yuma County, Colorado","9967","98","1012","281","1103","379","7852","454","6228","321","657","233","639","205","4932","390","2831","321","289","162","306","139","2236","330","31","39","0","19","0","19","31","39","877","184","66","57","158","151","653","184"
