"GEO_ID","NAME","B06012_001E","B06012_001M","B06012_002E","B06012_002M","B06012_003E","B06012_003M","B06012_004E","B06012_004M","B06012_005E","B06012_005M","B06012_006E","B06012_006M","B06012_007E","B06012_007M","B06012_008E","B06012_008M","B06012_009E","B06012_009M","B06012_010E","B06012_010M","B06012_011E","B06012_011M","B06012_012E","B06012_012M","B06012_013E","B06012_013M","B06012_014E","B06012_014M","B06012_015E","B06012_015M","B06012_016E","B06012_016M","B06012_017E","B06012_017M","B06012_018E","B06012_018M","B06012_019E","B06012_019M","B06012_020E","B06012_020M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Below 100 percent of the poverty level","Margin of Error!!Total!!Below 100 percent of the poverty level","Estimate!!Total!!100 to 149 percent of the poverty level","Margin of Error!!Total!!100 to 149 percent of the poverty level","Estimate!!Total!!At or above 150 percent of the poverty level","Margin of Error!!Total!!At or above 150 percent of the poverty level","Estimate!!Total!!Born in state of residence","Margin of Error!!Total!!Born in state of residence","Estimate!!Total!!Born in state of residence!!Below 100 percent of the poverty level","Margin of Error!!Total!!Born in state of residence!!Below 100 percent of the poverty level","Estimate!!Total!!Born in state of residence!!100 to 149 percent of the poverty level","Margin of Error!!Total!!Born in state of residence!!100 to 149 percent of the poverty level","Estimate!!Total!!Born in state of residence!!At or above 150 percent of the poverty level","Margin of Error!!Total!!Born in state of residence!!At or above 150 percent of the poverty level","Estimate!!Total!!Born in other state in the United States","Margin of Error!!Total!!Born in other state in the United States","Estimate!!Total!!Born in other state in the United States!!Below 100 percent of the poverty level","Margin of Error!!Total!!Born in other state in the United States!!Below 100 percent of the poverty level","Estimate!!Total!!Born in other state in the United States!!100 to 149 percent of the poverty level","Margin of Error!!Total!!Born in other state in the United States!!100 to 149 percent of the poverty level","Estimate!!Total!!Born in other state in the United States!!At or above 150 percent of the poverty level","Margin of Error!!Total!!Born in other state in the United States!!At or above 150 percent of the poverty level","Estimate!!Total!!Native; born outside the United States","Margin of Error!!Total!!Native; born outside the United States","Estimate!!Total!!Native; born outside the United States!!Below 100 percent of the poverty level","Margin of Error!!Total!!Native; born outside the United States!!Below 100 percent of the poverty level","Estimate!!Total!!Native; born outside the United States!!100 to 149 percent of the poverty level","Margin of Error!!Total!!Native; born outside the United States!!100 to 149 percent of the poverty level","Estimate!!Total!!Native; born outside the United States!!At or above 150 percent of the poverty level","Margin of Error!!Total!!Native; born outside the United States!!At or above 150 percent of the poverty level","Estimate!!Total!!Foreign born","Margin of Error!!Total!!Foreign born","Estimate!!Total!!Foreign born!!Below 100 percent of the poverty level","Margin of Error!!Total!!Foreign born!!Below 100 percent of the poverty level","Estimate!!Total!!Foreign born!!100 to 149 percent of the poverty level","Margin of Error!!Total!!Foreign born!!100 to 149 percent of the poverty level","Estimate!!Total!!Foreign born!!At or above 150 percent of the poverty level","Margin of Error!!Total!!Foreign born!!At or above 150 percent of the poverty level"
"0400000US01","Alabama","4699510","1078","889710","9821","527004","8869","3282796","12928","3299393","8292","662862","8230","385605","7026","2250926","11544","1198268","8452","182248","4677","112213","3873","903807","7520","37991","1526","5179","612","2976","496","29836","1298","163858","2980","39421","2284","26210","1764","98227","2739"
"0400000US02","Alaska","711235","421","71866","2472","57013","2794","582356","2849","289076","3139","39969","1516","28796","1789","220311","3246","355557","3304","24952","1155","22018","1338","308587","3045","15503","892","1407","314","1191","243","12905","834","51099","1987","5538","959","5008","972","40553","1540"
"0400000US04","Arizona","6411354","1575","1169309","16150","701163","12041","4540882","16200","2459031","10701","563831","9545","308862","7309","1586338","13756","3007308","10623","370775","6632","247967","5314","2388566","11080","80281","2298","11672","901","8033","940","60576","2052","864734","7824","223031","5660","136301","3961","505402","7321"
"0400000US05","Arkansas","2862662","744","549303","8618","350029","6977","1963330","9707","1756987","6377","351011","6588","217929","4808","1188047","8350","953276","6675","162665","4618","106932","3225","683679","5786","18840","1245","2802","519","1842","376","14196","1013","133559","2515","32825","1977","23326","2050","77408","2501"
"0400000US06","California","37323127","3616","6115244","38636","3894812","26588","27313071","49614","20251061","27084","3493303","25828","2029528","14695","14728230","43768","6423096","18167","682396","8027","434947","5310","5305753","19040","459807","5440","58598","1871","37970","1766","363239","5100","10189163","30062","1880947","14754","1392367","13556","6915849","19869"
"0400000US08","Colorado","5079529","1311","663861","8937","431605","8412","3984063","12355","2167662","8902","321910","6377","204254","5265","1641498","10439","2339568","7606","232378","3965","153853","3485","1953337","8697","73181","1947","8901","745","5055","532","59225","1853","499118","6237","100672","3293","68443","3086","330003","5293"
"0400000US09","Connecticut","3481115","681","364740","6663","223789","5907","2892586","9136","1931094","6328","194199","4564","118968","4357","1617927","7489","943751","6282","76071","2489","45271","1797","822409","6241","124597","3031","37353","2028","15735","1377","71509","2178","481673","4423","57117","2571","43815","2215","380741","3747"
"0400000US10","Delaware","891493","488","107101","3413","72212","3327","712180","4751","406941","4307","52627","2005","35915","2303","318399","4478","394113","4030","41695","2160","26643","1727","325775","3792","14300","942","2150","433","1072","321","11078","969","76139","2157","10629","1037","8582","1002","56928","1895"
"0400000US11","District of Columbia","599620","248","109378","3271","45510","2555","444732","3754","228598","2892","60937","2795","23512","1640","144149","3130","275396","2897","34364","1538","13288","1016","227744","2919","10441","628","1012","274","633","219","8796","622","85185","2261","13065","1142","8077","1032","64043","2069"
