"GEO_ID","NAME","B15003_001E","B15003_001M","B15003_002E","B15003_002M","B15003_003E","B15003_003M","B15003_004E","B15003_004M","B15003_005E","B15003_005M","B15003_006E","B15003_006M","B15003_007E","B15003_007M","B15003_008E","B15003_008M","B15003_009E","B15003_009M","B15003_010E","B15003_010M","B15003_011E","B15003_011M","B15003_012E","B15003_012M","B15003_013E","B15003_013M","B15003_014E","B15003_014M","B15003_015E","B15003_015M","B15003_016E","B15003_016M","B15003_017E","B15003_017M","B15003_018E","B15003_018M","B15003_019E","B15003_019M","B15003_020E","B15003_020M","B15003_021E","B15003_021M","B15003_022E","B15003_022M","B15003_023E","B15003_023M","B15003_024E","B15003_024M","B15003_025E","B15003_025M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!No schooling completed","Margin of Error!!Total!!No schooling completed","Estimate!!Total!!Nursery school","Margin of Error!!Total!!Nursery school","Estimate!!Total!!Kindergarten","Margin of Error!!Total!!Kindergarten","Estimate!!Total!!1st grade","Margin of Error!!Total!!1st grade","Estimate!!Total!!2nd grade","Margin of Error!!Total!!2nd grade","Estimate!!Total!!3rd grade","Margin of Error!!Total!!3rd grade","Estimate!!Total!!4th grade","Margin of Error!!Total!!4th grade","Estimate!!Total!!5th grade","Margin of Error!!Total!!5th grade","Estimate!!Total!!6th grade","Margin of Error!!Total!!6th grade","Estimate!!Total!!7th grade","Margin of Error!!Total!!7th grade","Estimate!!Total!!8th grade","Margin of Error!!Total!!8th grade","Estimate!!Total!!9th grade","Margin of Error!!Total!!9th grade","Estimate!!Total!!10th grade","Margin of Error!!Total!!10th grade","Estimate!!Total!!11th grade","Margin of Error!!Total!!11th grade","Estimate!!Total!!12th grade, no diploma","Margin of Error!!Total!!12th grade, no diploma","Estimate!!Total!!Regular high school diploma","Margin of Error!!Total!!Regular high school diploma","Estimate!!Total!!GED or alternative credential","Margin of Error!!Total!!GED or alternative credential","Estimate!!Total!!Some college, less than 1 year","Margin of Error!!Total!!Some college, less than 1 year","Estimate!!Total!!Some college, 1 or more years, no degree","Margin of Error!!Total!!Some college, 1 or more years, no degree","Estimate!!Total!!Associate's degree","Margin of Error!!Total!!Associate's degree","Estimate!!Total!!Bachelor's degree","Margin of Error!!Total!!Bachelor's degree","Estimate!!Total!!Master's degree","Margin of Error!!Total!!Master's degree","Estimate!!Total!!Professional school degree","Margin of Error!!Total!!Professional school degree","Estimate!!Total!!Doctorate degree","Margin of Error!!Total!!Doctorate degree"
"0500000US08001","Adams County, Colorado","289449","87","5062","553","8","13","28","25","441","196","522","180","1366","323","647","179","747","260","7456","657","1846","332","4728","523","7164","687","6394","631","8780","763","7629","555","68881","1662","16047","993","20260","1036","45080","1464","23774","1157","43034","1144","15519","953","2557","355","1479","230"
"0500000US08003","Alamosa County, Colorado","9337","193","207","95","0","19","0","19","13","16","28","35","15","24","4","8","14","19","106","70","60","43","166","87","303","129","159","90","135","80","232","106","1863","285","565","168","515","145","2094","292","604","162","1289","205","697","153","140","73","128","63"
"0500000US08005","Arapahoe County, Colorado","396254","72","3392","455","34","42","63","47","104","84","485","177","567","177","612","198","942","238","4018","538","961","218","3373","473","4527","490","3497","431","4765","555","5219","519","69179","1782","12642","737","25990","920","66764","1769","33120","1230","101636","2042","40015","1343","9435","614","4914","427"
"0500000US08007","Archuleta County, Colorado","9043","118","5","8","0","19","0","19","0","19","0","19","7","15","16","19","4","6","24","30","17","18","141","105","51","31","200","104","140","87","92","76","2140","332","297","101","534","143","1564","271","616","123","2074","282","787","151","152","69","182","75"
"0500000US08009","Baca County, Colorado","2701","36","22","17","0","12","0","12","0","12","16","17","11","13","7","8","14","13","17","17","0","12","41","21","68","34","63","21","104","54","29","14","783","92","92","29","203","46","547","64","250","54","315","57","85","24","31","24","3","4"
"0500000US08011","Bent County, Colorado","4831","120","44","27","0","17","0","17","0","17","19","22","111","81","13","12","36","32","79","64","35","27","107","69","236","127","78","57","159","95","126","124","1184","177","822","184","373","95","550","134","496","168","245","79","98","45","15","15","5","8"
"0500000US08013","Boulder County, Colorado","195716","189","1655","335","9","13","0","28","41","40","122","98","188","83","186","134","359","157","1811","455","300","109","999","330","1200","261","1561","334","1383","304","2026","362","21413","877","3714","409","8190","534","25516","985","11207","636","61713","1483","34828","1176","6617","484","10678","706"
"0500000US08014","Broomfield County, Colorado","39477","113","205","89","0","28","0","28","28","42","0","28","99","58","21","26","37","42","158","89","24","27","382","151","225","103","268","99","275","124","315","100","5122","518","877","175","2200","249","6542","560","3162","406","12595","705","5367","386","775","172","800","170"
"0500000US08015","Chaffee County, Colorado","14243","122","103","58","0","19","0","19","0","19","40","40","20","21","4","7","24","24","128","98","62","79","163","67","132","74","173","71","310","82","193","93","3120","335","850","236","797","197","2328","288","924","162","3113","310","1191","189","397","188","171","79"
