"GEO_ID","NAME","B19013_001E","B19013_001M"
"id","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2014 Inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2014 Inflation-adjusted dollars)"
"0500000US08001","Adams County, Colorado","57421","949"
"0500000US08003","Alamosa County, Colorado","31400","3803"
"0500000US08005","Arapahoe County, Colorado","62213","714"
"0500000US08007","Archuleta County, Colorado","48186","4962"
"0500000US08009","Baca County, Colorado","38625","2604"
"0500000US08011","Bent County, Colorado","39053","2566"
"0500000US08013","Boulder County, Colorado","69407","1451"
"0500000US08014","Broomfield County, Colorado","80430","3515"
"0500000US08015","Chaffee County, Colorado","48528","3627"
"0500000US08017","Cheyenne County, Colorado","53900","6063"
"0500000US08019","Clear Creek County, Colorado","68531","4814"
"0500000US08021","Conejos County, Colorado","37357","5218"
"0500000US08023","Costilla County, Colorado","33594","9414"
"0500000US08025","Crowley County, Colorado","31534","6500"
"0500000US08027","Custer County, Colorado","32261","3144"
"0500000US08029","Delta County, Colorado","42389","2595"
"0500000US08031","Denver County, Colorado","51800","682"
"0500000US08033","Dolores County, Colorado","32578","5776"
"0500000US08035","Douglas County, Colorado","102626","1592"
"0500000US08037","Eagle County, Colorado","73774","5282"
"0500000US08039","Elbert County, Colorado","82154","4193"
"0500000US08041","El Paso County, Colorado","57487","819"
"0500000US08043","Fremont County, Colorado","40569","1721"
"0500000US08045","Garfield County, Colorado","57214","3527"
"0500000US08047","Gilpin County, Colorado","65851","9146"
"0500000US08049","Grand County, Colorado","64109","5270"
"0500000US08051","Gunnison County, Colorado","51371","6681"
"0500000US08053","Hinsdale County, Colorado","55682","6640"
"0500000US08055","Huerfano County, Colorado","32932","2905"
"0500000US08057","Jackson County, Colorado","45606","5368"
"0500000US08059","Jefferson County, Colorado","69698","878"
"0500000US08061","Kiowa County, Colorado","39375","4070"
"0500000US08063","Kit Carson County, Colorado","41495","5902"
"0500000US08065","Lake County, Colorado","46174","10542"
"0500000US08067","La Plata County, Colorado","58456","3191"
"0500000US08069","Larimer County, Colorado","58844","880"
"0500000US08071","Las Animas County, Colorado","45707","2024"
"0500000US08073","Lincoln County, Colorado","43701","7520"
"0500000US08075","Logan County, Colorado","41749","2723"
"0500000US08077","Mesa County, Colorado","48610","1538"
"0500000US08079","Mineral County, Colorado","47986","8085"
"0500000US08081","Moffat County, Colorado","50123","3328"
"0500000US08083","Montezuma County, Colorado","43431","1718"
"0500000US08085","Montrose County, Colorado","44885","2090"
"0500000US08087","Morgan County, Colorado","46223","2984"
"0500000US08089","Otero County, Colorado","32594","3069"
"0500000US08091","Ouray County, Colorado","60701","3328"
"0500000US08093","Park County, Colorado","60800","4938"
"0500000US08095","Phillips County, Colorado","44390","5034"
"0500000US08097","Pitkin County, Colorado","71060","9973"
"0500000US08099","Prowers County, Colorado","35408","3452"
"0500000US08101","Pueblo County, Colorado","41974","994"
"0500000US08103","Rio Blanco County, Colorado","63910","9403"
"0500000US08105","Rio Grande County, Colorado","38673","4112"
"0500000US08107","Routt County, Colorado","61095","4253"
"0500000US08109","Saguache County, Colorado","33398","3911"
"0500000US08111","San Juan County, Colorado","37679","5684"
"0500000US08113","San Miguel County, Colorado","59490","4113"
"0500000US08115","Sedgwick County, Colorado","43864","5780"
"0500000US08117","Summit County, Colorado","64521","6246"
"0500000US08119","Teller County, Colorado","62559","3881"
"0500000US08121","Washington County, Colorado","44271","3175"
"0500000US08123","Weld County, Colorado","58100","1267"
"0500000US08125","Yuma County, Colorado","43279","4448"
