"GEO_ID","NAME","B25097_001E","B25097_001M","B25097_002E","B25097_002M","B25097_003E","B25097_003M"
"id","Geographic Area Name","Estimate!!Median value!!Total","Margin of Error!!Median value!!Total","Estimate!!Median value!!Total!!Median value for units with a mortgage","Margin of Error!!Median value!!Total!!Median value for units with a mortgage","Estimate!!Median value!!Total!!Median value for units without a mortgage","Margin of Error!!Median value!!Total!!Median value for units without a mortgage"
"0500000US08001","Adams County, Colorado","189400","1694","195400","2086","164700","3934"
"0500000US08003","Alamosa County, Colorado","142100","9136","149300","9923","123000","17114"
"0500000US08005","Arapahoe County, Colorado","235600","1707","235500","1976","236100","4494"
"0500000US08007","Archuleta County, Colorado","264300","18421","261900","27284","268600","27680"
"0500000US08009","Baca County, Colorado","71500","10200","72800","13100","70400","14620"
"0500000US08011","Bent County, Colorado","69800","11799","82200","12732","62200","10094"
"0500000US08013","Boulder County, Colorado","358000","4862","358300","5022","356900","11024"
"0500000US08014","Broomfield County, Colorado","284100","6503","288400","7802","261900","18858"
"0500000US08015","Chaffee County, Colorado","265700","12634","275900","17427","252900","18813"
"0500000US08017","Cheyenne County, Colorado","84200","10597","112100","19450","73800","11855"
"0500000US08019","Clear Creek County, Colorado","273400","15626","286800","19581","230400","29922"
"0500000US08021","Conejos County, Colorado","111000","7051","120800","9789","98200","11313"
"0500000US08023","Costilla County, Colorado","101200","8300","105600","15645","98900","8818"
"0500000US08025","Crowley County, Colorado","73700","15390","102100","8324","50800","8533"
"0500000US08027","Custer County, Colorado","215400","31592","260600","51209","175000","32976"
"0500000US08029","Delta County, Colorado","190500","7704","195600","8851","182100","13632"
"0500000US08031","Denver County, Colorado","257500","2956","262100","3261","243400","5836"
"0500000US08033","Dolores County, Colorado","117400","13893","169400","51192","110300","10984"
"0500000US08035","Douglas County, Colorado","340300","2918","337900","3454","355000","8955"
"0500000US08037","Eagle County, Colorado","435600","22725","438500","21265","412100","92368"
"0500000US08039","Elbert County, Colorado","327300","9719","335200","8869","243500","32991"
"0500000US08041","El Paso County, Colorado","214300","2044","218900","2301","197500","4260"
"0500000US08043","Fremont County, Colorado","157400","5128","161400","6948","151400","7974"
"0500000US08045","Garfield County, Colorado","290600","10189","303700","19815","241000","23811"
"0500000US08047","Gilpin County, Colorado","260000","33076","260600","33711","256500","94501"
"0500000US08049","Grand County, Colorado","292700","21729","291000","25107","299000","64891"
"0500000US08051","Gunnison County, Colorado","325800","21113","330100","28703","317700","34626"
"0500000US08053","Hinsdale County, Colorado","264800","31631","283600","25649","233300","33987"
"0500000US08055","Huerfano County, Colorado","154700","18884","150100","25724","165200","49157"
"0500000US08057","Jackson County, Colorado","124800","55168","132900","61599","121500","82967"
"0500000US08059","Jefferson County, Colorado","267200","1556","268300","1971","264000","3424"
"0500000US08061","Kiowa County, Colorado","76400","12239","80000","34963","76100","12121"
"0500000US08063","Kit Carson County, Colorado","121600","11057","143500","12024","108100","12181"
"0500000US08065","Lake County, Colorado","168800","11645","170400","16335","163500","29413"
"0500000US08067","La Plata County, Colorado","333100","7376","337200","9678","322200","19485"
"0500000US08069","Larimer County, Colorado","251600","3156","251400","4182","252000","5866"
"0500000US08071","Las Animas County, Colorado","151200","8307","163500","8260","118800","10431"
"0500000US08073","Lincoln County, Colorado","124300","18439","144000","12302","98300","9827"
"0500000US08075","Logan County, Colorado","122300","8683","131100","7310","108300","13240"
"0500000US08077","Mesa County, Colorado","203200","4294","207400","6338","194700","7364"
"0500000US08079","Mineral County, Colorado","280200","26183","280700","44711","279800","33225"
"0500000US08081","Moffat County, Colorado","177700","9608","190500","9338","135300","37233"
"0500000US08083","Montezuma County, Colorado","184300","11473","196400","15431","161800","19394"
"0500000US08085","Montrose County, Colorado","194600","5846","197900","8262","188300","10450"
"0500000US08087","Morgan County, Colorado","135000","5920","146700","7764","109500","12387"
"0500000US08089","Otero County, Colorado","93200","5159","95800","5635","88200","10599"
"0500000US08091","Ouray County, Colorado","389600","28722","414900","34447","335600","54304"
"0500000US08093","Park County, Colorado","244300","10938","245400","11903","241100","22153"
"0500000US08095","Phillips County, Colorado","132900","13026","131400","16280","135900","25291"
"0500000US08097","Pitkin County, Colorado","570700","79693","473800","88406","961500","311365"
"0500000US08099","Prowers County, Colorado","86200","9554","104500","7237","63200","11919"
"0500000US08101","Pueblo County, Colorado","137600","2622","143400","3400","123300","3802"
"0500000US08103","Rio Blanco County, Colorado","199800","12690","198400","12727","204300","30788"
"0500000US08105","Rio Grande County, Colorado","126300","14474","138600","15473","105600","16637"
"0500000US08107","Routt County, Colorado","378100","16261","390100","20323","342200","42052"
"0500000US08109","Saguache County, Colorado","142200","21078","159900","37746","122200","26963"
"0500000US08111","San Juan County, Colorado","230300","28843","258300","47867","205000","146325"
"0500000US08113","San Miguel County, Colorado","511800","87162","495600","87860","570500","254834"
"0500000US08115","Sedgwick County, Colorado","84500","6323","87000","9960","82600","7870"
"0500000US08117","Summit County, Colorado","461100","28180","447300","30054","529600","83313"
"0500000US08119","Teller County, Colorado","232300","10514","235500","13848","225500","17083"
"0500000US08121","Washington County, Colorado","111500","6401","132400","14112","97500","7623"
"0500000US08123","Weld County, Colorado","196100","2798","207300","3536","160100","5158"
"0500000US08125","Yuma County, Colorado","137200","13267","138600","23025","136200","16271"
