"GEO_ID","NAME","B15003_001E","B15003_001M","B15003_002E","B15003_002M","B15003_003E","B15003_003M","B15003_004E","B15003_004M","B15003_005E","B15003_005M","B15003_006E","B15003_006M","B15003_007E","B15003_007M","B15003_008E","B15003_008M","B15003_009E","B15003_009M","B15003_010E","B15003_010M","B15003_011E","B15003_011M","B15003_012E","B15003_012M","B15003_013E","B15003_013M","B15003_014E","B15003_014M","B15003_015E","B15003_015M","B15003_016E","B15003_016M","B15003_017E","B15003_017M","B15003_018E","B15003_018M","B15003_019E","B15003_019M","B15003_020E","B15003_020M","B15003_021E","B15003_021M","B15003_022E","B15003_022M","B15003_023E","B15003_023M","B15003_024E","B15003_024M","B15003_025E","B15003_025M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!No schooling completed","Margin of Error!!Total:!!No schooling completed","Estimate!!Total:!!Nursery school","Margin of Error!!Total:!!Nursery school","Estimate!!Total:!!Kindergarten","Margin of Error!!Total:!!Kindergarten","Estimate!!Total:!!1st grade","Margin of Error!!Total:!!1st grade","Estimate!!Total:!!2nd grade","Margin of Error!!Total:!!2nd grade","Estimate!!Total:!!3rd grade","Margin of Error!!Total:!!3rd grade","Estimate!!Total:!!4th grade","Margin of Error!!Total:!!4th grade","Estimate!!Total:!!5th grade","Margin of Error!!Total:!!5th grade","Estimate!!Total:!!6th grade","Margin of Error!!Total:!!6th grade","Estimate!!Total:!!7th grade","Margin of Error!!Total:!!7th grade","Estimate!!Total:!!8th grade","Margin of Error!!Total:!!8th grade","Estimate!!Total:!!9th grade","Margin of Error!!Total:!!9th grade","Estimate!!Total:!!10th grade","Margin of Error!!Total:!!10th grade","Estimate!!Total:!!11th grade","Margin of Error!!Total:!!11th grade","Estimate!!Total:!!12th grade, no diploma","Margin of Error!!Total:!!12th grade, no diploma","Estimate!!Total:!!Regular high school diploma","Margin of Error!!Total:!!Regular high school diploma","Estimate!!Total:!!GED or alternative credential","Margin of Error!!Total:!!GED or alternative credential","Estimate!!Total:!!Some college, less than 1 year","Margin of Error!!Total:!!Some college, less than 1 year","Estimate!!Total:!!Some college, 1 or more years, no degree","Margin of Error!!Total:!!Some college, 1 or more years, no degree","Estimate!!Total:!!Associate's degree","Margin of Error!!Total:!!Associate's degree","Estimate!!Total:!!Bachelor's degree","Margin of Error!!Total:!!Bachelor's degree","Estimate!!Total:!!Master's degree","Margin of Error!!Total:!!Master's degree","Estimate!!Total:!!Professional school degree","Margin of Error!!Total:!!Professional school degree","Estimate!!Total:!!Doctorate degree","Margin of Error!!Total:!!Doctorate degree"
"0400000US01","Alabama","3320877","1371","40837","1374","410","126","492","139","799","184","1628","269","5009","583","4289","514","6159","591","20148","1162","21897","1158","41331","1613","66716","2124","91358","2416","95627","2567","62222","1839","841716","7731","181123","3324","202923","3848","508105","4494","282316","3962","529178","5844","230528","4148","50270","1771","35796","1282"
"0400000US02","Alaska","480586","382","3434","483","151","98","47","43","126","101","462","209","570","127","486","112","613","191","1455","281","1099","219","3603","407","3292","286","6030","496","7427","559","5581","505","108797","2192","25785","1110","36708","1432","91792","2155","41109","1556","88058","1892","37958","1508","10373","733","5630","568"
"0400000US04","Arizona","4732532","548","71270","2058","746","179","1139","318","3349","531","6379","688","12944","1078","9122","784","12523","903","61764","2301","15205","1004","63507","2140","77747","2601","77202","2252","94067","2629","101673","2879","940168","6994","188961","3404","358660","4419","833268","7686","408312","5210","869452","6228","378467","4364","86371","2056","60236","1805"
"0400000US05","Arkansas","2011639","1102","23602","1389","250","93","304","151","441","149","1883","393","4317","495","3284","442","4716","559","17045","1236","12322","837","29182","1132","36639","1577","44754","1531","56966","1957","34463","1620","559816","5384","124843","2402","137174","3151","312423","4012","143979","2777","297250","4268","119000","2804","27707","1266","19279","958"
"0400000US06","California","26471543","1043","713452","9614","7079","646","10173","785","35534","1362","80143","2457","169916","3823","105503","2955","141316","3317","754275","11226","120034","2731","295569","6103","489557","7737","339083","4515","467061","5919","689980","8412","4813250","33684","610212","7432","1509867","19016","4064990","18940","2073823","11640","5603047","20422","2294771","16320","645797","6748","437111","4919"
"0400000US08","Colorado","3825579","922","37709","1496","468","159","679","185","1279","320","2577","398","5660","652","4062","631","6893","834","33599","1898","9069","883","27128","1352","39173","1832","42688","1647","52080","1954","52687","1642","667781","6585","149671","2976","234595","3273","570744","5725","321903","3640","981017","6667","428252","4471","90525","2055","65340","1852"
"0400000US09","Connecticut","2483095","414","26484","1321","330","121","301","95","1199","252","2051","425","4897","619","5469","614","7422","675","18113","1246","7997","860","25574","1184","27522","1351","35425","1767","34763","1566","35116","1381","588032","7236","78796","2186","129388","2618","286787","3789","191964","2750","541380","4832","315473","4345","76404","1920","42208","1424"
"0400000US10","Delaware","669320","176","6505","756","174","108","102","55","229","118","412","162","710","185","623","207","1014","278","5125","597","2247","397","6534","743","7795","709","12011","885","12976","881","10359","714","187323","2889","22126","836","41077","1511","85204","2197","52636","1754","124632","2307","64883","1613","12849","856","11774","735"
"0400000US11","District of Columbia","494116","86","5406","661","156","113","34","34","372","179","601","265","1127","371","746","292","1568","295","2769","620","1660","284","3819","533","5112","659","6377","696","8822","752","6281","631","70065","1918","13120","900","16714","818","45316","1656","14792","871","122380","2149","104526","2114","41447","1368","20906","1007"
"0400000US12","Florida","14965745","1650","224991","4569","4495","520","3239","378","9237","785","17037","1228","36133","1813","31848","1654","46232","2383","142875","4181","63655","2243","139167","3365","206323","4720","250896","5170","265047","5017","326408","6120","3647514","27905","628723","8088","958364","11247","2023116","12068","1468744","10161","2827938","16238","1138820","10409","328745","5454","176198","3581"
"0400000US13","Georgia","6888279","2086","92308","3091","1250","304","1411","347","3323","570","6805","782","14630","1273","10073","980","17503","1159","62811","2597","33180","1675","75167","2690","118615","3178","159979","3939","168771","4372","119672","2860","1582994","13251","326073","5008","385417","7263","1012537","8583","538144","6627","1324801","9877","590536","7337","149171","2994","93108","2397"
"0400000US15","Hawaii","993005","174","10456","726","139","70","310","132","384","130","1457","361","1905","322","2084","391","2100","390","8732","777","2767","469","6367","539","8154","791","11469","977","10623","715","12774","776","247978","3560","23670","1076","56966","1598","150695","3096","106509","2024","215777","3091","74614","1827","22900","926","14175","794"
"0400000US16","Idaho","1115556","765","10691","930","338","171","216","86","552","223","947","304","2101","412","1447","310","1527","321","8853","1049","2495","420","8088","729","11555","711","15612","1127","19511","1105","18996","1224","246382","3436","58799","2010","93645","2429","196662","3256","109602","2373","207179","3771","69784","2112","16921","950","13653","757"
"0400000US17","Illinois","8686299","1166","112285","2875","1774","309","1630","293","3649","464","9374","698","17733","1363","14232","985","20746","1239","104378","3080","24619","1079","108839","2548","91496","2241","125200","2515","147724","3068","153363","2802","1941914","13618","312610","3523","569383","6386","1214792","9003","700533","5175","1831438","10318","862440","7664","199455","3444","116692","2472"
"0400000US18","Indiana","4430493","1283","41362","1553","658","171","705","156","1444","346","2318","401","4571","552","4839","621","5151","501","21981","1300","11584","744","68563","2416","66237","2035","94511","2559","99217","2389","72249","1683","1249644","8159","230440","3844","297240","4362","597713","6457","387910","4504","749078","7212","311229","4224","64915","1757","46934","1525"
"0400000US19","Iowa","2092785","1044","16715","890","356","110","417","131","332","104","1040","294","2197","334","1626","306","2276","416","8958","694","3873","468","26146","974","19091","1018","25450","1105","32467","1248","24570","1084","565444","5353","82954","1677","152357","2708","286560","3571","242125","2655","403801","4597","135213","2619","34033","1301","24784","936"
"0400000US20","Kansas","1902279","1027","17522","1078","466","135","388","125","821","227","1492","296","3012","392","2597","381","2487","380","13289","899","4957","523","21073","1147","21044","990","25485","935","31884","1385","25609","1080","416403","3748","76404","1681","150682","2424","286475","3492","165119","2303","400938","4551","173172","3083","37218","1280","23742","906"
"0400000US21","Kentucky","3019093","1393","32406","1315","252","84","640","207","991","265","1722","332","4954","465","3939","463","6894","620","16358","1017","17599","888","80657","2368","62038","2143","74717","2224","68614","2065","43003","1345","792393","5738","200705","3176","200439","3766","428554","4995","251136","3766","428846","5349","216508","3981","55258","1802","30470","1054"
"0400000US22","Louisiana","3125153","1179","37358","1452","645","179","333","119","1464","338","1579","284","5338","645","4504","548","8190","812","22670","1149","23089","1128","46843","1632","64465","1699","89542","2476","102969","2870","52717","1870","893660","8293","167728","3035","171790","3581","482557","4853","194127","3965","490514","5471","180464","2796","53075","1630","29532","1153"
"0400000US23","Maine","974117","425","5238","537","230","110","125","66","233","110","276","107","544","159","396","125","891","197","1746","294","2311","314","12994","743","10154","633","13880","943","12976","972","9991","590","259470","3350","47119","1494","59807","1328","127943","2107","97905","1695","194761","2682","82129","1985","19771","843","13227","854"
"0400000US24","Maryland","4139008","751","52991","2043","998","246","982","215","1917","332","4596","522","8399","809","6505","732","9697","713","29847","1694","15109","907","33358","1528","46973","1720","61436","2169","64692","1857","67963","1625","890361","7591","128292","2464","245947","4006","528384","5750","277837","3473","891511","6324","535947","5714","126397","2541","108869","2276"
"0400000US25","Massachusetts","4781683","660","68431","2165","772","197","1145","236","2431","469","4815","581","10042","781","16437","964","14613","1133","26887","1475","16597","877","46290","1728","47513","1506","60586","1781","57240","2021","68145","1857","1014308","9900","134217","2830","230085","3413","508399","5343","363665","4248","1151870","7492","656508","6457","145317","2504","135370","2682"
"0400000US26","Michigan","6813480","1034","71854","2060","1076","201","1231","232","1520","306","3135","411","5217","518","4892","507","9761","767","23100","1005","14330","804","58639","1903","67421","1790","118246","2377","136777","2835","108991","2194","1695368","9961","271948","3555","518304","4876","1073054","7696","643446","5569","1207829","8685","575818","5686","120906","2198","80617","2006"
"0400000US27","Minnesota","3766900","901","46158","1299","668","152","654","211","1082","231","1629","309","3231","424","2527","372","3540","535","12981","908","5450","492","31399","1314","23134","950","35353","1102","43582","1416","47003","1365","812779","6246","115671","2075","251530","2980","537937","4332","431425","4161","892893","6453","327716","3547","83373","1790","55185","1436"
"0400000US28","Mississippi","1975670","1261","24760","1391","368","132","326","114","733","277","1630","394","3281","433","3332","389","4967","540","13772","1016","14181","962","32586","1417","41040","1694","58354","2107","68380","2230","38395","1500","477712","5903","123643","2951","116510","2572","323681","4840","192866","3508","269736","4684","118193","3026","27801","1314","19423","1029"
"0400000US29","Missouri","4150049","1503","34182","1478","572","127","779","179","617","192","1248","266","2812","432","2803","399","4563","562","11689","875","9534","617","61209","1608","52284","1890","83184","2242","91542","2531","61248","1740","1080715","7808","189907","2696","300666","3564","619213","5706","328720","3612","745843","6733","340251","4325","74401","2002","52067","1692"
"0400000US30","Montana","723295","745","3154","384","70","41","58","36","47","39","114","115","253","111","154","79","103","62","849","195","1031","263","7910","631","5061","498","8787","693","11089","690","7970","563","175082","2820","33459","1279","48749","1171","120735","2208","66951","1696","155230","2519","52801","1452","14133","768","9505","734"
"0400000US31","Nebraska","1251026","717","14521","967","216","93","312","143","559","264","1245","302","2133","351","1721","304","2132","328","10113","862","2858","360","12023","681","12123","816","13986","728","17261","786","16332","769","283407","3073","43187","1308","93120","1738","192367","2484","132185","2057","262614","2770","96921","1851","22846","960","16844","594"
"0400000US32","Nevada","2044695","437","32770","1647","511","144","690","220","1056","248","2382","376","6109","622","4075","513","7107","817","34137","1573","7529","730","15841","1114","32388","1471","29613","1504","41514","1594","56410","1810","490303","5042","83951","2169","153672","2771","368228","4211","170718","2895","330222","4116","122034","2559","33877","1361","19558","906"
"0400000US33","New Hampshire","960337","473","5874","522","230","102","180","116","159","104","326","155","578","193","453","208","694","179","1760","362","1842","347","8314","744","8900","813","12476","810","12880","817","11540","722","222457","3094","40864","1267","58620","1374","118790","2576","97663","2413","218013","2844","104407","2063","19451","942","13866","778"
"0400000US34","New Jersey","6146379","531","84073","2428","1637","304","1210","213","3011","435","6239","563","13919","1055","16826","1185","21259","1023","64527","2806","20980","1223","64943","2155","63375","1888","75380","2091","84490","1877","104062","2447","1517670","12253","153272","2795","307951","4695","698732","6666","401872","4449","1489653","8597","690446","6363","161719","2865","99133","2245"
"0400000US35","New Mexico","1403371","772","17564","1093","372","174","258","110","674","192","1911","349","5646","534","3706","556","4946","529","24561","1600","7362","688","17492","1160","26839","1236","31858","1500","36589","1769","22472","1207","305538","4557","65800","2239","87328","2193","240898","3650","118038","2902","215662","3404","117424","2232","24942","1154","25491","999"
