"GEO_ID","NAME","B19013_001E","B19013_001M"
"id","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars)"
"0400000US01","Alabama","50536","304"
"0400000US02","Alaska","77640","1015"
"0400000US04","Arizona","58945","266"
"0400000US05","Arkansas","47597","328"
"0400000US06","California","75235","232"
"0400000US08","Colorado","72331","370"
"0400000US09","Connecticut","78444","553"
"0400000US10","Delaware","68287","696"
"0400000US11","District of Columbia","86420","1008"
"0400000US12","Florida","55660","220"
"0400000US13","Georgia","58700","294"
"0400000US15","Hawaii","81275","780"
"0400000US16","Idaho","55785","539"
"0400000US17","Illinois","65886","283"
"0400000US18","Indiana","56303","271"
"0400000US19","Iowa","60523","321"
"0400000US20","Kansas","59597","337"
"0400000US21","Kentucky","50589","294"
"0400000US22","Louisiana","49469","392"
"0400000US23","Maine","57918","496"
"0400000US24","Maryland","84805","465"
"0400000US25","Massachusetts","81215","429"
"0400000US26","Michigan","57144","216"
"0400000US27","Minnesota","71306","262"
"0400000US28","Mississippi","45081","385"
"0400000US29","Missouri","55461","294"
"0400000US30","Montana","54970","606"
"0400000US31","Nebraska","61439","416"
"0400000US32","Nevada","60365","409"
"0400000US33","New Hampshire","76768","728"
"0400000US34","New Jersey","82545","400"
"0400000US35","New Mexico","49754","430"
"0400000US36","New York","68486","313"
"0400000US37","North Carolina","54602","231"
"0400000US38","North Dakota","64894","813"
"0400000US39","Ohio","56602","213"
"0400000US40","Oklahoma","52919","225"
"0400000US41","Oregon","62818","304"
"0400000US42","Pennsylvania","61744","189"
"0400000US44","Rhode Island","67167","958"
"0400000US45","South Carolina","53199","276"
"0400000US46","South Dakota","58275","643"
"0400000US47","Tennessee","53320","260"
"0400000US48","Texas","61874","208"
"0400000US49","Utah","71621","447"
"0400000US50","Vermont","61973","662"
"0400000US51","Virginia","74222","341"
"0400000US53","Washington","73775","298"
"0400000US54","West Virginia","46711","492"
"0400000US55","Wisconsin","61747","204"
"0400000US56","Wyoming","64049","707"
"0400000US72","Puerto Rico","20539","185"
