"GEO_ID","NAME","B25097_001E","B25097_001M","B25097_002E","B25097_002M","B25097_003E","B25097_003M"
"id","Geographic Area Name","Estimate!!Median value --!!Total:","Margin of Error!!Median value --!!Total:","Estimate!!Median value --!!Total:!!Median value for units with a mortgage","Margin of Error!!Median value --!!Total:!!Median value for units with a mortgage","Estimate!!Median value --!!Total:!!Median value for units without a mortgage","Margin of Error!!Median value --!!Total:!!Median value for units without a mortgage"
"0400000US01","Alabama","142700","773","159200","744","111900","1156"
"0400000US02","Alaska","270400","2005","287500","2481","225900","4724"
"0400000US04","Arizona","225500","662","241100","833","185600","1887"
"0400000US05","Arkansas","127800","871","142900","988","105200","1407"
"0400000US06","California","505000","1147","523000","1373","466100","1604"
"0400000US08","Colorado","343300","911","351700","883","317500","2523"
"0400000US09","Connecticut","275400","972","280100","1234","265800","1965"
"0400000US10","Delaware","251100","2236","258300","2649","236900","3585"
"0400000US11","District of Columbia","601500","6902","611400","7969","565200","17978"
"0400000US12","Florida","215300","548","231700","681","186500","1050"
"0400000US13","Georgia","176000","800","192700","899","148000","1189"
"0400000US15","Hawaii","615300","3662","622500","4820","599400","7636"
"0400000US16","Idaho","212300","1479","221700","1884","192300","2815"
"0400000US17","Illinois","194500","546","209000","785","170200","685"
"0400000US18","Indiana","141700","516","148800","637","123200","761"
"0400000US19","Iowa","147800","745","157000","840","129900","1078"
"0400000US20","Kansas","151900","682","165600","854","123400","1146"
"0400000US21","Kentucky","141000","643","155500","877","113400","896"
"0400000US22","Louisiana","163100","677","180300","1237","136400","1725"
"0400000US23","Maine","190400","1380","201300","2055","169400","1726"
"0400000US24","Maryland","314800","1003","323200","1297","290300","1626"
"0400000US25","Massachusetts","381600","975","386200","1290","370500","1876"
"0400000US26","Michigan","154900","380","167000","462","127700","863"
"0400000US27","Minnesota","223900","467","233000","561","203000","1034"
"0400000US28","Mississippi","119000","847","143800","1319","92900","1355"
"0400000US29","Missouri","157200","586","166100","673","137700","1161"
"0400000US30","Montana","230600","1687","245700","1872","203700","3551"
"0400000US31","Nebraska","155800","724","165600","755","135700","1481"
"0400000US32","Nevada","267900","1339","276700","1379","242100","3189"
"0400000US33","New Hampshire","261700","1216","269200","1390","244200","2977"
"0400000US34","New Jersey","335600","797","342500","1209","320900","1808"
"0400000US35","New Mexico","171400","789","188100","1332","148400","2555"
"0400000US36","New York","313700","1000","331500","1382","281300","1584"
"0400000US37","North Carolina","172500","438","190600","787","141700","1108"
"0400000US38","North Dakota","193900","1643","219200","2556","162300","1910"
"0400000US39","Ohio","145700","382","154700","462","126800","725"
"0400000US40","Oklahoma","136800","629","152200","741","111700","945"
"0400000US41","Oregon","312200","1677","326500","1679","280200","2435"
"0400000US42","Pennsylvania","180200","455","196600","576","158700","597"
"0400000US44","Rhode Island","261900","1774","260700","2205","264500","3067"
"0400000US45","South Carolina","162300","627","180900","1231","125600","1414"
"0400000US46","South Dakota","167100","1067","182200","2266","142700","3127"
"0400000US47","Tennessee","167200","579","178500","938","150600","1025"
"0400000US48","Texas","172500","355","198500","694","135700","833"
"0400000US49","Utah","279100","1084","283300","1263","267200","2461"
"0400000US50","Vermont","227700","1609","234300","2274","214600","2908"
"0400000US51","Virginia","273100","819","294500","1089","221700","1749"
"0400000US53","Washington","339000","970","351300","1175","306600","2234"
"0400000US54","West Virginia","119600","969","146700","1531","94800","1509"
"0400000US55","Wisconsin","180600","597","187900","698","168900","692"
"0400000US56","Wyoming","220500","1903","232500","2585","197400","3878"
"0400000US72","Puerto Rico","111500","566","132800","956","95400","521"
